#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
opinion_rejected;Spurned at Night;Repousse vos avances;;;;;;;;;;;;x
visit_chamber_sin;Spend time with [Root.GetFirstName];Visitez la chambre de [Root.GetFirstName];;;;;;;;;;;;x
visit_chamber_sin_desc;You can Visit [Root.GetFirstName]'s Bedchamber and attempt to seduce your way inside.;Vous pouvez vous rendre dans la chambre de [Root.GetFirstName] et lui faire des avances;;;;;;;;;;;;x
visited_chambers;Visited Chambers Recently;Chambre visit�e r�cemment;;;;;;;;;;;;x
visited_chambers_desc;You were recently in chambers with someone.;Chambre visit�e r�cemment avec quelqu'un d'autre;;;;;;;;;;;;x
adopt_sinfertile;Adopt an Acarpous life;Adopter vie de d�bauche;;;;;;;;;;;;x
adopt_sinfertile_desc;You've decided you have enough children so no more.;Vous avez d�cid� que vous aviez assez d'enfants.;;;;;;;;;;;;x
revoke_sinfertile;Renounce Acarpous life;Renoncer vie de d�bauche;;;;;;;;;;;;x
revoke_sinfertile_desc;You've lived a Acarpous life but no longer, more children can't hurt.;Renoncer vie de d�bauche, plus jamais d'enfant malheureux;;;;;;;;;;;;x
sinfertile;Acarpous;D�bauch�;;;;;;;;;;;;x
sinfertile_desc;You have enough children.;Vous avez assez d'enfants;;;;;;;;;;;;x
sinfertile2;Acarpous;D�bauch�;;;;;;;;;;;;x
sinfertile2_desc;You have enough children.;Vous avez assez d'enfants;;;;;;;;;;;;x
EVTDESCvisit_chamber_sin.0;[FromFrom.GetFirstName] has happened upon your chambers. [FromFrom.GetSheHe] whispers sweet innuendoes in your ear as [FromFrom.GetSheHe] slides [FromFrom.GetHerHis] hand up your thigh.;[FromFrom.GetFirstName] arrive dans la chambre de [FromFrom.GetSheHe] lui glissant des mots doux � l'oreille [FromFrom.GetSheHe] doucement [FromFrom.GetHerHis] vous glissez vos mains entre ses cuisses.;;;;;;;;;;;;x
EVTOPTAvisit_chamber_sin.0;Get in here! *[FromFrom.GetFirstName] is dragged inside*;Entre ici ! *[FromFrom.GetFirstName] est tir� par les cheveux � l'int�rieur de la chambre *;;;;;;;;;;;;x
EVTOPTBvisit_chamber_sin.0;I can't.;Je ne peux pas !;;;;;;;;;;;;x
EVTDESCvisit_chamber_sin.1;[From.GetFirstName] showed you a night, one you will, hopefuly, remember forever.;[From.GetFirstName] vous a tout montr� cette nuit qui sera inoubliable.;;;;;;;;;;;;x
EVTOPTAvisit_chamber_sin.1;It's good to be me!;C'est bon d'�tre le maitre !;;;;;;;;;;;;x
EVTDESCvisit_chamber_sin.2;[From.GetFirstName] showed you the door, seemingly immune to your charms.;[From.GetFirstName] vous montre la porte, insensible � vos charmes;;;;;;;;;;;;x
EVTOPTAvisit_chamber_sin.2;But, but how?!;Mais, mais, comment ?;;;;;;;;;;;;x
